Nama Provinsi,Tahun,Tingkat Pengangguran
MALUKU,2002,8.08
MALUKU,2003,12.63
MALUKU,2004,11.67
MALUKU,2005,15.01
MALUKU,2006,13.72
MALUKU,2007,12.2
MALUKU,2008,10.67
MALUKU,2009,10.57
MALUKU,2010,9.97
MALUKU,2011,10.81
MALUKU,2012,7.71
MALUKU,2013,9.91
MALUKU,2014,10.51
MALUKU,2015,9.93
MALUKU,2016,7.05
MALUKU,2017,9.29
MALUKU,2018,6.95
MALUKU,2019,6.69
MALUKU,2020,7.57
MALUKU,2021,6.93
MALUKU,2022,6.88
MALUKU,2023,6.31
MALUKU,2024,6.11
MALUKU UTARA,1986,
MALUKU UTARA,1987,
MALUKU UTARA,1988,
MALUKU UTARA,1989,
MALUKU UTARA,1990,
MALUKU UTARA,1991,
MALUKU UTARA,1992,
MALUKU UTARA,1993,
MALUKU UTARA,1994,
MALUKU UTARA,1996,
MALUKU UTARA,1997,
MALUKU UTARA,1998,
MALUKU UTARA,1999,
MALUKU UTARA,2000,
MALUKU UTARA,2001,9.32
MALUKU UTARA,2002,15.25
MALUKU UTARA,2003,7.5
MALUKU UTARA,2004,7.53
MALUKU UTARA,2005,13.09
MALUKU UTARA,2006,6.9
MALUKU UTARA,2007,6.05
MALUKU UTARA,2008,6.48
MALUKU UTARA,2009,6.76
MALUKU UTARA,2010,6.03
MALUKU UTARA,2011,5.34
MALUKU UTARA,2012,4.82
MALUKU UTARA,2013,3.8
MALUKU UTARA,2014,5.29
MALUKU UTARA,2015,6.05
MALUKU UTARA,2016,4.01
MALUKU UTARA,2017,5.33
MALUKU UTARA,2018,4.63
MALUKU UTARA,2019,4.81
MALUKU UTARA,2020,5.15
MALUKU UTARA,2021,4.71
MALUKU UTARA,2022,3.98
MALUKU UTARA,2023,4.31
MALUKU UTARA,2024,4.03
NUSA TENGGARA BARAT,1986,1.49
NUSA TENGGARA BARAT,1987,0.92
NUSA TENGGARA BARAT,1988,0.89
NUSA TENGGARA BARAT,1989,0.75
NUSA TENGGARA BARAT,1990,1.0
NUSA TENGGARA BARAT,1991,0.56
NUSA TENGGARA BARAT,1992,0.92
NUSA TENGGARA BARAT,1993,0.83
NUSA TENGGARA BARAT,1994,1.5
NUSA TENGGARA BARAT,1996,2.6
NUSA TENGGARA BARAT,1997,1.71
NUSA TENGGARA BARAT,1998,3.14
NUSA TENGGARA BARAT,1999,1.44
NUSA TENGGARA BARAT,2000,4.3
NUSA TENGGARA BARAT,2001,5.82
NUSA TENGGARA BARAT,2002,6.94
NUSA TENGGARA BARAT,2003,6.34
NUSA TENGGARA BARAT,2004,7.48
NUSA TENGGARA BARAT,2005,10.29
NUSA TENGGARA BARAT,2006,8.9
NUSA TENGGARA BARAT,2007,6.48
NUSA TENGGARA BARAT,2008,6.13
NUSA TENGGARA BARAT,2009,6.25
NUSA TENGGARA BARAT,2010,5.29
NUSA TENGGARA BARAT,2011,5.25
NUSA TENGGARA BARAT,2012,5.23
